Raza,Hipoalergenico,Vida_Min,Vida_Max,Peso_Macho,Peso_Hembra,Descripcion,Vida_Promedio,Peso_Promedio,Longevidad,Tamaño,Aptitud
Deutscher Wachtelhund,No,12,14,20,20,"The Deutscher Wachtelhund is a versatile gundog from Germany. They are strong, lively, and intelligent, and make excellent hunting and family companions. Deutscher Wachtelhunds have a short, dense coat that is usually black and white in color. They are active and require plenty of exercise and mental stimulation to remain healthy and happy.",13.0,20.0,Media,Mediano,Cazador
Doberman Pinscher,No,10,13,40,35,"The Doberman Pinscher is a large and powerful breed of dog that was originally bred in Germany for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",11.5,37.5,Media,Grande,Guardián
Dogo Argentino,No,10,12,45,45,"The Dogo Argentino is a large breed of dog that originated in Argentina. It is a powerful and athletic breed, with a short, white coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Dogo Argentino is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",11.0,45.0,Media,Grande,Compañía
Dogue de Bordeaux,No,8,10,70,70,"The Dogue de Bordeaux is a large breed of dog that originated in France. It is a powerful and athletic breed, with a short, smooth coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Dogue de Bordeaux is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",9.0,70.0,Corta,Gigante,Compañía
Drentsche Patrijshond,No,12,14,22,22,"The Drentsche Patrijshond is a medium-sized breed of dog that was originally bred in the Netherlands for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.0,22.0,Media,Mediano,Cazador
Drever,No,12,14,15,15,"The Drever is a small and agile breed of dog that was originally bred in Sweden for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.0,15.0,Media,Mediano,Cazador
Dutch Shepherd,No,12,14,40,35,"The Dutch Shepherd is a medium-sized, athletic breed that is known for its intelligence, loyalty, and trainability. This breed is native to the Netherlands, where it was originally used as a herding and guarding dog.",13.0,37.5,Media,Grande,Guardián
English Cocker Spaniel,No,12,14,16,16,"The English Cocker Spaniel is a medium-sized breed of dog that was originally bred in England for hunting small game. They are intelligent, friendly, and eager to please, and make excellent hunting dogs.",13.0,16.0,Media,Mediano,Cazador
English Foxhound,No,12,15,29,27,"The English Foxhound is a medium-sized hound breed that was historically used for hunting foxes. It is an active and energetic breed that is friendly and even-tempered, and is considered to be a very intelligent and obedient breed. The English Foxhound stands between 21-25 inches at the shoulder and has a short to medium-length coat that can come in a variety of colors.",13.5,28.0,Alta,Grande,Cazador
English Setter,No,12,14,30,30,"The English Setter is a large, gentle breed of gundog with a distinctive silky, wavy coat and a calm, intelligent disposition.",13.0,30.0,Media,Grande,General
English Springer Spaniel,No,12,14,17,17,"The English Springer Spaniel is a medium-sized breed of dog that was originally bred in England for flushing and retrieving game. They are intelligent, energetic, and eager to please, and make excellent hunting dogs.",13.0,17.0,Media,Mediano,Cazador
English Toy Spaniel,No,14,16,5,5,"The English Toy Spaniel is a small and playful breed of dog that was originally bred in England as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",15.0,5.0,Alta,Pequeño,Compañía
Entlebucher Mountain Dog,No,12,14,30,30,The Entlebucher Mountain Dog is a medium-sized dog breed that originated in Switzerland. They are known for their intelligence and loyalty.,13.0,30.0,Media,Grande,General
Estrela Mountain Dog,No,12,14,60,50,"The Estrela Mountain Dog is a large breed of dog that originated in Portugal. It is a powerful and athletic breed, with a thick, double coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Estrela Mountain Dog is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",13.0,55.0,Media,Gigante,Compañía
Eurasier,No,12,15,30,30,"The Eurasier is a medium-sized breed of dog that was originally bred in Germany as a companion dog. They are intelligent, loyal, and affectionate, and make excellent family pets.",13.5,30.0,Alta,Grande,Compañía
Field Spaniel,No,12,14,18,18,"The Field Spaniel is a medium-sized, athletic breed that is known for its intelligence, trainability, and love of water. This breed is native to England, where it was originally used for hunting and flushing game.",13.0,18.0,Media,Mediano,Cazador
Finnish Lapphund,No,12,14,20,20,"The Finnish Lapphund is a medium-sized dog breed that originated in Finland. They are known for their thick, double coats and friendly personalities.",13.0,20.0,Media,Mediano,General
Finnish Spitz,No,14,16,16,16,"The Finnish Spitz is a small and agile breed of dog that was originally bred in Finland for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15.0,16.0,Alta,Mediano,Cazador
Flat-Coated Retriever,No,10,12,34,32,"The Flat-Coated Retriever is a large breed of retrieving dog from England. These dogs are large in size, with a flat and glossy coat of fur. They have a lively and affectionate demeanor, making them excellent companion and working dogs. They are highly trainable and intelligent, with an instinct to retrieve game. They are loyal and devoted to their family, with an independent nature that makes them well suited for retrieving and guard work.",11.0,33.0,Media,Grande,Guardián
French Bulldog,No,10,12,14,14,"The French Bulldog is a small and playful breed of dog that was originally bred in France as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",11.0,14.0,Media,Mediano,Compañía
French Spaniel,No,12,15,30,30,"The French Spaniel is a medium-sized gun dog that originated in France. It is a strong and powerful breed, with a short, smooth coat. Its head is large, with a long muzzle and large, floppy ears. Its legs are strong and muscular, and its tail is usually docked. The French Spaniel is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",13.5,30.0,Alta,Grande,Compañía
German Longhaired Pointer,No,12,14,32,32,"The German Longhaired Pointer is a medium-sized breed that originated in Germany. They have a thick, wavy coat, and come in a variety of colors. They are an active breed, and need plenty of exercise and mental stimulation. They are loyal and devoted to their owners, and make good family companions.",13.0,32.0,Media,Grande,Compañía
German Pinscher,No,12,15,15,15,"The German Pinscher is a medium-sized, energetic and intelligent breed of dog with a short, smooth coat and a sleek, athletic build.",13.5,15.0,Alta,Mediano,General
German Shepherd Dog,No,9,13,40,32,"The German Shepherd Dog is a large breed that originated in Germany in the late 19th century. They are a working breed, and can be used for a variety of tasks, from herding and guarding to search and rescue. They have a thick double coat, in a variety of colors, and are highly intelligent and loyal. They are an active breed, and need plenty of exercise and mental stimulation.",11.0,36.0,Media,Grande,Guardián
German Shorthaired Pointer,No,12,14,30,30,The German Shorthaired Pointer is a medium to large-sized dog breed that was originally bred for hunting. They are known for their intelligence and energetic personalities.,13.0,30.0,Media,Grande,Cazador
German Spitz,No,14,16,7,7,"The German Spitz is a small to medium-sized dog breed that originated in Germany. They are known for their thick, fluffy coats and playful personalities.",15.0,7.0,Alta,Pequeño,General
German Wirehaired Pointer,No,12,14,32,32,"The German Wirehaired Pointer is a strong, medium-sized breed that originated in Germany in the late 19th century. They are a versatile hunting breed, able to work in all sorts of terrain, from water to mountains. They have a wiry coat that is dense and weather-resistant, and with a distinctive facial mask. They are an active breed, with a lot of energy and an eagerness to please. They are loyal and make good family companions.",13.0,32.0,Media,Grande,Cazador
Giant Schnauzer,No,12,14,70,70,"The Giant Schnauzer is a large breed of working dog that originated in Germany. It is a powerful and athletic breed, with a thick, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Giant Schnauzer is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",13.0,70.0,Media,Gigante,Compañía
Glen of Imaal Terrier,No,12,14,16,16,"The Glen of Imaal Terrier is a small to medium-sized terrier that was historically used for hunting small game. It is an active and intelligent breed that is loyal and friendly. The Glen of Imaal Terrier stands between 12-14 inches at the shoulder and has a long, wiry coat that can come in various colors.",13.0,16.0,Media,Mediano,Cazador
Golden Retriever,No,12,14,34,32,"The Golden Retriever is a large and muscular breed of dog that was originally bred in Scotland for retrieving game. They are intelligent, friendly, and eager to please, and make excellent family pets.",13.0,33.0,Media,Grande,Compañía
Gordon Setter,No,12,14,32,32,"The Gordon Setter is a large and athletic breed of dog that was originally bred for hunting. They are intelligent, energetic, and eager to please, and make excellent companion dogs.",13.0,32.0,Media,Grande,Cazador
Grand Basset Griffon Vendéen,No,12,15,30,30,"The Grand Basset Griffon Vendéen is a medium-sized breed of scent hound from the Vendéen region of France. These dogs are medium in size, with a long and wiry coat of fur. They have an energetic and cheerful demeanor, with an instinct for hunting and tracking. They are highly trainable and intelligent, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",13.5,30.0,Alta,Grande,Cazador
Great Dane,No,8,10,54,54,"The Great Dane is a large and powerful breed of dog that was originally bred in Germany for hunting large game. They are intelligent, loyal, and gentle, and make excellent companion dogs.",9.0,54.0,Corta,Gigante,Cazador
Greater Swiss Mountain Dog,No,8,10,70,60,"The Greater Swiss Mountain Dog is a large and powerful breed of dog that was originally bred in Switzerland for herding and guarding livestock. They are intelligent, loyal, and hardworking, and make excellent working dogs.",9.0,65.0,Corta,Gigante,Guardián
Great Pyrenees,No,10,12,45,45,"The Great Pyrenees is a large and powerful breed of dog that was originally bred in the Pyrenees Mountains for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",11.0,45.0,Media,Grande,Guardián
Greyhound,No,10,12,40,40,"The Greyhound is a sleek, athletic breed that is known for its speed, grace, and endurance. This breed is native to the British Isles, where it was originally used for coursing game and racing.",11.0,40.0,Media,Grande,General
Hamiltonstovare,No,12,14,25,25,"The Hamiltonstovare is a medium-sized gundog from Sweden. They are friendly, loyal, and intelligent, and make great family pets. Hamiltonstovares have a thick, double coat that can be black and white, or golden and white in color. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",13.0,25.0,Media,Mediano,Compañía
Hanoverian Scenthound,No,12,14,25,25,"The Hanoverian Scenthound is a medium-sized breed of scent hound from the Hanover region of Germany. These dogs are medium in size, with a short and wiry coat of fur. They have a friendly and energetic demeanor, with an instinct for hunting and tracking. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",13.0,25.0,Media,Mediano,Cazador
Harrier,No,12,15,25,25,"The Harrier is a medium-sized hound breed that was historically used for hunting hares and other small game. It is believed to have descended from a combination of Foxhound, Greyhound, and other hound breeds. The Harrier is an active and energetic breed with a friendly, even temperament and is typically very eager to please. It stands between 19-21 inches at the shoulder, is typically tri-colored, and has a dense, medium-length coat.",13.5,25.0,Alta,Mediano,Cazador
Havanese,No,14,16,5,5,"The Havanese is a small and playful breed of dog that was originally bred in Cuba as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",15.0,5.0,Alta,Pequeño,Compañía
Hokkaido,No,12,15,30,30,"The Hokkaido is a medium-sized breed of dog from the island of Hokkaido in Japan. These dogs are medium in size, with a thick double coat of fur to protect them from the cold. They have a dignified and loyal demeanor, making them excellent guard and companion dogs. They are intelligent and trainable, but require firm and consistent training to be obedient. They are brave and alert, with an instinct to protect their family and property.",13.5,30.0,Alta,Grande,Guardián
Hovawart,No,12,14,45,40,"The Hovawart is a large and powerful breed of dog that was originally bred in Germany for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",13.0,42.5,Media,Grande,Guardián
Ibizan Hound,No,12,15,25,25,"The Ibizan Hound is a medium-sized hunting dog from the Balearic Islands of Spain. They are active, friendly, and intelligent, and make great family pets. Ibizan Hounds have a short, glossy coat that is usually white with red or chestnut markings. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",13.5,25.0,Alta,Mediano,Cazador
Icelandic Sheepdog,No,14,16,20,20,"The Icelandic Sheepdog is a small and energetic breed of dog that was originally bred in Iceland for herding and guarding livestock. They are intelligent, loyal, and hardworking, and make excellent working dogs.",15.0,20.0,Alta,Mediano,Guardián
Irish Red and White Setter,No,12,14,32,32,"The Irish Red and White Setter is a medium-sized breed of dog that was originally bred in Ireland for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.0,32.0,Media,Grande,Cazador
Irish Setter,No,12,14,32,32,"The Irish Setter is a medium-sized breed of dog that was originally bred for hunting. They are friendly, energetic, and intelligent, and make excellent companion dogs.",13.0,32.0,Media,Grande,Cazador
Irish Terrier,No,12,15,9,9,"The Irish Terrier is a medium-sized, energetic breed that is known for its intelligence, courage, and loyalty. This breed is native to Ireland, where it was originally used to hunt small game and vermin.",13.5,9.0,Alta,Pequeño,Cazador
Irish Water Spaniel,Sí,12,14,32,32,"The Irish Water Spaniel is a large breed of retrieving dog from Ireland. These dogs are large in size, with a long and wavy coat of fur. They have a lively and energetic demeanor, making them excellent working dogs. They are highly trainable and intelligent, with an instinct to retrieve game. They are loyal and devoted to their family, with an independent nature that makes them well suited for retrieving and guard work.",13.0,32.0,Media,Grande,Guardián
Irish Wolfhound,No,6,8,90,90,"The Irish Wolfhound is a large and muscular breed of dog that was originally bred for hunting wolves. They are gentle, intelligent, and loyal, and make excellent family pets.",7.0,90.0,Corta,Gigante,Cazador
Italian Greyhound,Sí,14,16,5,5,"The Italian Greyhound is a small and slender breed of dog that was originally bred for hunting small game. They are gentle, intelligent, and affectionate, and make excellent companion dogs.",15.0,5.0,Alta,Pequeño,Cazador
Jagdterrier,No,12,15,10,10,"The Jagdterrier is a small and agile breed of dog that was originally bred in Germany for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.5,10.0,Alta,Pequeño,Cazador
Japanese Akitainu,No,12,15,50,45,"The Japanese Akitainu is a large and powerful breed of dog that was originally developed in Japan for dog fighting. They are intelligent, loyal, and protective, and make excellent guard dogs.",13.5,47.5,Alta,Gigante,Guardián
Japanese Chin,No,12,14,4,4,"The Japanese Chin is a small, elegant dog breed with a distinctive, wedge-shaped head and a long, silky coat that can be black, white, or red in color. They are known for their friendly, playful nature and their agility, and were originally bred as companions for the aristocracy in Japan.",13.0,4.0,Media,Pequeño,Compañía
Japanese Spitz,No,12,15,7,7,"The Japanese Spitz is a small, active breed with a long, fluffy coat. They have a triangular head and medium-sized, dark eyes with a friendly expression that is often described as “smiling.” The Japanese Spitz is an intelligent, loyal breed that loves to be around its family and is known for its affectionate nature.",13.5,7.0,Alta,Pequeño,Compañía
Japanese Terrier,No,15,20,4,4,"The Japanese Terrier is a small breed of terrier from Japan. These dogs are small in size, with a short and wiry coat of fur. They have a lively and energetic demeanor, with an instinct for hunting. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, with an independent nature that makes them well suited for herding and guard work.",17.5,4.0,Alta,Pequeño,Cazador
Jindo,No,12,15,15,15,"The Jindo is a medium-sized breed of dog that was originally bred in Korea for hunting and guarding. They are intelligent, independent, and alert, and make excellent companion dogs.",13.5,15.0,Alta,Mediano,Cazador
Kai Ken,No,12,15,20,20,"The Kai Ken is a medium-sized dog breed with a distinctive brindle coat and a strong, muscular build. They are intelligent, loyal, and alert, and were originally bred for hunting game in the mountains of Japan.",13.5,20.0,Alta,Mediano,Cazador
Karelian Bear Dog,No,12,15,30,30,"The Karelian Bear Dog is a medium-sized breed that originated in Finland. They have a thick, double coat, and come in a variety of colors. They are an active and energetic breed, and need plenty of exercise and mental stimulation. They are loyal and devoted to their owners, and make good family companions. They are also excellent guard dogs, and are known for their bravery and courage.",13.5,30.0,Alta,Grande,Guardián
Keeshond,No,12,15,18,18,"The Keeshond is a medium-sized breed of dog that was originally bred in the Netherlands for guarding and protecting property. They are intelligent, friendly, and playful, and make excellent companion dogs.",13.5,18.0,Alta,Mediano,Guardián
Kerry Blue Terrier,Sí,12,14,17,17,"The Kerry Blue Terrier is a medium-sized terrier breed that was developed in Ireland. It is an active and intelligent breed that is loyal and devoted to its family. The Kerry Blue Terrier stands between 17-19 inches at the shoulder and has a long, wavy coat that can come in various colors.",13.0,17.0,Media,Mediano,Compañía
Kishu Ken,No,12,15,30,30,"The Kishu Ken is a medium-sized breed of dog that was originally bred in Japan for hunting small game. They are intelligent, independent, and alert, and make excellent hunting dogs.",13.5,30.0,Alta,Grande,Cazador
Komondor,No,10,12,70,60,"The Komondor is a large, imposing breed that is known for its distinctive white, corded coat and its independent, protective nature. This breed is native to Hungary, where it was originally used to guard flocks of sheep and cattle.",11.0,65.0,Media,Gigante,Guardián
Kromfohrlander,No,12,14,6,6,"The Kromfohrlander is a small to medium-sized breed of dog that originated in Germany. It is an active and energetic breed that is intelligent, loyal, and friendly. The Kromfohrlander stands between 14-19 inches at the shoulder and has a short, wiry coat that comes in various colors and patterns.",13.0,6.0,Media,Pequeño,General
Kuvasz,No,12,14,50,45,"The Kuvasz is a large, muscular breed that was originally bred to protect livestock. It is intelligent and loyal, but can be reserved with strangers.",13.0,47.5,Media,Gigante,Guardián
Labrador Retriever,No,12,14,32,32,"The Labrador Retriever is a large and muscular breed of dog that was originally bred in Canada for retrieving game. They are intelligent, friendly, and eager to please, and make excellent family pets.",13.0,32.0,Media,Grande,Compañía
Lagotto Romagnolo,No,12,15,20,20,"The Lagotto Romagnolo is a small and agile breed of dog that was originally bred in Italy for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.5,20.0,Alta,Mediano,Cazador
Lakeland Terrier,No,12,15,9,9,"The Lakeland Terrier is a small, agile terrier breed with a wiry, weather-resistant coat and a distinctive plumed tail.",13.5,9.0,Alta,Pequeño,General
Lancashire Heeler,No,12,15,11,11,The Lancashire Heeler is a small to medium-sized breed of dog that was developed in England. It is an active and intelligent breed that is loyal and friendly. The Lancashire Heeler stands between 11-13 inches at the shoulder and has a short and dense coat that comes in various colors and patterns.,13.5,11.0,Alta,Mediano,General
Lapponian Herder,No,12,14,20,20,"The Lapponian Herder is a small to medium-sized, spitz-type herding dog native to Finland.",13.0,20.0,Media,Mediano,General
Leonberger,No,8,10,80,65,"The Leonberger is a large and powerful breed of dog that was originally bred in Germany for working on farms. They are intelligent, gentle, and loyal, and make excellent family pets.",9.0,72.5,Corta,Gigante,Compañía
Lhasa Apso,No,14,16,30,30,"The Lhasa Apso is a small and playful breed of dog that was originally bred in Tibet as a companion dog. They are intelligent, independent, and affectionate, and make excellent family pets.",15.0,30.0,Alta,Grande,Compañía
Löwchen,No,12,15,7,7,"The Löwchen is a small, active breed with a short, wavy coat. They have a small, wedge-shaped head with large, dark eyes and a lively expression. The Löwchen is a playful, loyal breed that loves to be around its family and is known for its eagerness to please and its lively, friendly nature.",13.5,7.0,Alta,Pequeño,Compañía
Maltese,Sí,12,14,4,4,"The Maltese is a small, elegant breed with a long, silky coat. They have a round head with a short muzzle and large, black eyes with a gentle expression. The Maltese is an affectionate, happy breed that loves to be around its family and is known for its gentle and playful nature.",13.0,4.0,Media,Pequeño,Compañía
Manchester Terrier (Standard),No,12,15,7,7,"The Manchester Terrier (Standard) is a small, lively terrier breed from England. They are active and energetic, but also loyal and affectionate. Manchester Terriers have a sleek, short-haired coat that is usually black-and-tan in color. They are intelligent, easy to train, and make great family pets.",13.5,7.0,Alta,Pequeño,Compañía
Manchester Terrier (Toy),No,12,15,5,5,"The Manchester Terrier (Toy) is a small, energetic breed that was originally bred to hunt rats.",13.5,5.0,Alta,Pequeño,Cazador
Mastiff,No,6,8,90,70,"The Mastiff is a large and powerful breed of dog that was originally bred for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",7.0,80.0,Corta,Gigante,Guardián
Miniature American Shepherd,No,12,14,14,14,"The Miniature American Shepherd is a small and energetic breed of dog that was originally bred in the United States for herding and guarding livestock. They are intelligent, loyal, and hardworking, and make excellent working dogs.",13.0,14.0,Media,Mediano,Guardián
Miniature Bull Terrier,No,12,15,14,14,"The Miniature Bull Terrier is a small and energetic breed of dog that was originally bred in England for bull baiting. They are intelligent, playful, and affectionate, and make excellent companion dogs.",13.5,14.0,Alta,Mediano,Compañía
Miniature Pinscher,Sí,14,16,4,4,"The Miniature Pinscher is a small breed of dog that originated in Germany. It is a compact and lively breed, with a short, smooth coat. Its head is large and round, with small, erect ears. Its legs are short and strong, and its tail is usually docked. The Miniature Pinscher is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs regular exercise and mental stimulation. It is loyal and affectionate, and it enjoys being around its family.",15.0,4.0,Alta,Pequeño,Compañía
Miniature Schnauzer,Sí,12,15,7,7,"The Miniature Schnauzer is a small breed that originated in Germany in the late 19th century. They have a double coat of wiry fur, and come in a variety of colors. They are an intelligent and active breed, and make good family companions. They are alert, and make good watchdogs, and are loyal and devoted to their owners.",13.5,7.0,Alta,Pequeño,Guardián
Mountain Cur,No,12,15,30,30,"The Mountain Cur is a large and powerful breed of dog that was originally bred in the United States for hunting and guarding. They are intelligent, loyal, and protective, and make excellent working dogs.",13.5,30.0,Alta,Grande,Cazador
Mudi,No,12,15,15,15,The Mudi is a small to medium-sized dog breed that originated in Hungary. They are known for their intelligence and versatility.,13.5,15.0,Alta,Mediano,General
Neapolitan Mastiff,No,9,11,70,60,"The Neapolitan Mastiff is a large, powerful breed with a short, thick coat. They have a large, rectangular head and a massive, muscular body, with a deep, broad chest and a thick, powerful neck. The Neapolitan Mastiff is a loyal and devoted breed, with a quiet, even temperament and a strong protective instinct.",10.0,65.0,Corta,Gigante,Guardián
Nederlandse Kooikerhondje,No,12,15,15,15,"The Nederlandse Kooikerhondje is a small and energetic breed of dog that was originally bred in the Netherlands for duck hunting. They are intelligent, playful, and affectionate, and make excellent companion dogs.",13.5,15.0,Alta,Mediano,Cazador
Newfoundland,No,8,10,70,70,"The Newfoundland is a large and muscular breed of dog that was originally bred for working on boats and in the water. They are gentle and intelligent, and make excellent family pets.",9.0,70.0,Corta,Gigante,Compañía
Norfolk Terrier,No,12,15,6,6,"The Norfolk Terrier is a small and energetic breed of dog that was originally bred in England for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",13.5,6.0,Alta,Pequeño,Cazador
Norrbottenspets,No,12,15,10,10,"The Norrbottenspets is a small and playful breed of dog that was originally bred in Sweden for hunting small game. They are intelligent, energetic, and affectionate, and make excellent companion dogs.",13.5,10.0,Alta,Pequeño,Cazador
Norwegian Buhund,No,12,14,16,16,"The Norwegian Buhund is a medium-sized breed of dog that was originally bred in Norway for herding and guarding livestock. They are intelligent, friendly, and energetic, and make excellent working dogs.",13.0,16.0,Media,Mediano,Guardián
Norwegian Elkhound,No,12,15,25,23,"The Norwegian Elkhound is an ancient breed of Spitz-type hunting and guard dog from Norway. They are strong and powerful, yet friendly and loyal. Norwegian Elkhounds have a thick, double coat with a long, profuse undercoat and a short, thick outer coat. They come in various colors, including black and grey. They are independent and intelligent, and make great family pets.",13.5,24.0,Alta,Mediano,Cazador
Norwegian Lundehund,No,12,15,9,8,"The Norwegian Lundehund is a small and agile breed of dog that was originally bred in Norway for hunting puffins. They are intelligent, playful, and energetic, and make excellent companion dogs.",13.5,8.5,Alta,Pequeño,Cazador
Norwich Terrier,No,12,15,6,6,"The Norwich Terrier is a small breed of dog that originated in England. It is a compact and lively breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are short and strong, and its tail is usually docked. The Norwich Terrier is an intelligent and friendly breed, and it makes a great family pet. It is an active breed, and it needs regular exercise and mental stimulation. It is loyal and affectionate, and it enjoys being around its family.",13.5,6.0,Alta,Pequeño,Compañía
Nova Scotia Duck Tolling Retriever,No,12,14,16,16,"The Nova Scotia Duck Tolling Retriever is a medium-sized breed of gun dog that originated in Nova Scotia. It is an active and energetic breed, with a short, wavy coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Nova Scotia Duck Tolling Retriever is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",13.0,16.0,Media,Mediano,Compañía
Old English Sheepdog,No,10,12,50,45,"The Old English Sheepdog is a large breed of herding dog from England. These dogs are large in size, with a thick double coat of fur to protect them from the cold. They have a gentle and affectionate demeanor, making them excellent companion and working dogs. They are highly trainable and intelligent, with an instinct to herd and protect their family and property. They are loyal and devoted to their family, with an independent nature that makes them well suited for herding and guard work.",11.0,47.5,Media,Gigante,Guardián
Otterhound,No,8,10,45,45,"The Otterhound is a large and athletic breed of dog that was originally bred in England for hunting otters. They are intelligent, playful, and affectionate, and make excellent companion dogs.",9.0,45.0,Corta,Grande,Cazador
Papillon,No,12,15,4,4,"The Papillon is a small toy breed that originated in France. It is an active and intelligent breed that is friendly and outgoing. The Papillon stands between 8-11 inches at the shoulder and has a long, silky coat that can come in various colors and patterns.",13.5,4.0,Alta,Pequeño,General
